id,sponsor,event,venue,place,physical_description,occasion,notes,call_number,date,location,currency,currency_symbol,status,page_count,dish_count
12555,LONG BEACH HOTEL,ANNUAL OUTING OF EDWARD THOMPSON CO.,COMMERCIAL,"LONG BEACH, L.I., NY",BROADSHEET; 4.5X7.0;,N/A,N/A,1900-4117,1900-08-21T00:00:00Z,Long Beach Hotel,,,COMPLETE,2,20
12556,GRAND HOTEL L'D.,DINNER,COMMERCIAL,"YOKOHAMA, JAPAN",FOLDER; ILLUS; COL; 6.5X9.5;,N/A,"FRONT COVER ILLUS, ""BILL OF FARE"" OVER DRAWING OF HOTEL AGAINST BACKGROUND OF CHRYSANTHEMUMS; BACK COVER ILLUS TWO GEISHAS WITH UMBRELLAS BEFORE BACKGROUND OF TEMPLE GARDEN; THE GRAND HOTEL BAND PROGRAMME ON BACK COVER; INSIDE ILLUS, WOMAN AND CHILD ON FO",1900-4126,1900-08-21T00:00:00Z,Grand Hotel L'd.,DOLLARS,$,COMPLETE,4,152
12557,HOTEL VICTORY,DINNER,COMMERCIAL,"PUT-IN-BAY-ISLAND, OH;",CARD; 4.75X7.25;,N/A,N/A,1900-4128,1900-08-22T00:00:00Z,Hotel Victory,,,COMPLETE,2,36
12558,BRISTOL HOTEL,DINNER,COMMERCIAL,"NAPLES, ITALY",BROADSIDE; ILLUS; 5.5X8.75;,DAILY MENU,FRENCH; TABLE D'HOTE MENU; HANDWRITTEN; SKETCHES OF HOTEL & VIEW OF POSILLIPO;,1900-2154,1900-02-26T00:00:00Z,Bristol Hotel,,,COMPLETE,2,11
12559,ASSOCIATION OF EMPLOYING BOOKBINDERS,BANQUET,PROF,"SAVOY HOTEL, NEW YORK, NY",BOOKLET; ILLUS; 5.5X7;,ANNIVERSARY,FRENCH; PRICED WINE CARD AFFIXED TO INSIDE COVER; SEAL & MOTTO OF ASSOCIATION ON COVER; TOASTS & MUSICAL PROGRAM INCLUDED; LIST OF MEMBER BOOKBINDING FIRMS; SILK CORD ATTACHMENT;,1900-2156,1900-02-26T00:00:00Z,Association Of Employing Bookbinders,DOLLARS,$,COMPLETE,8,30
12560,DELMONICOS,MENU,N/A,"NEW YORK, NY",FOLDER; ILLUS; COL; 4.5X7;,N/A,FRENCH; LIST OF WINES; ENGRAVED PORTRAIT OF A WOMAN ON COVER; (POSSIBLY A PRIVATE PARTY?);,1900-2157,1900-02-26T00:00:00Z,Delmonicos,,,COMPLETE,4,34
12561,R.M.S. OCEANIC,LUNCH,COMMERCIAL,EN ROUTE,CARD; 3.5 X 5;,N/A,SMALL FLAG AND LOGO;,1900-2165,1900-02-27T00:00:00Z,R.M.S. Oceanic,,,COMPLETE,2,30
12562,CUNARD LINE,BREAKFAST,COMMERCIAL,EN ROUTE ON BOARD R.M.S. CAMPANIA,CARD; 4.5 X 6.5;,N/A,PRICED WINE LIST ON BACK OF MENU; PRICES IN BRITISH CURRENCY ONLY;,1900-2170,1900-02-28T00:00:00Z,Cunard Line,,,COMPLETE,2,110
12563,NEW ENGLAND SHORTHAND REPORTER'S ASSOCIATION,SEMI-ANNUAL DINNER,PROF,"UNITED STATES HOTEL,BOSTON,MA",FOLDER;ILL;COL;5.5X8.5;,ANNIVERSARY,PORTRAIT OF PRESIDENT OF ASSOCIATION ON FRONT COVER;TWO ILLUSTRATIONS OF REPORTERS AT WORK;TOASTS;MUSICAL PROGRAM;NAMES;,1900-3264,1900-05-12T00:00:00Z,New England Shorthand Reporter's Association,,,COMPLETE,4,21
12564,RECTOR'S,DAILY MENU,COMMERCIAL,"BROADWAY AND 44TH ST,NEW YORK,NY",FOLDER;ILL;COL;7X9.5;,DAILY,SPECIAL DISHES ON SEPARATE CARD FASTENED WITH RIBBON IN PUNCHED HOLE;,1900-3265,1900-05-13T00:00:00Z,Rector's,DOLLARS,$,COMPLETE,6,358
12567,STATLER'S,DINNER,COMMERCIAL,"ELLICOTT SQUARE, BUFFALO, NY",CARD; ILLUS; 3.25X6.25;,N/A,ILLUS: WOMAN HOLDING TEACUP AND SAUCER;,1900-3268,1900-05-14T00:00:00Z,Statler's,,,COMPLETE,2,17
12568,JOHN WANAMAKER,LUNCH,COMMERCIAL,"BROADWAY & 10TH STREET, NEW YORK, [NY]",BROADSHEET; ILLUS; COL; 4.75X7.75,N/A,"ILLUS: SHIELD WITH FLEUR DE LYS, FLANKED BY LOBSTERS; SURMOUNTED BY PIGEON;",1900-3270,1900-05-14T00:00:00Z,John Wanamaker,DOLLARS,$,COMPLETE,2,72
12569,MAXWELL HOUSE,SUPPER,COMMERCIAL,"NASHVILLE, TN",CARD; ILLUS; 4.25X6.25,N/A,ELABORATE PRINTING OF HOTEL NAME FORMS ILLUSTRATION;,1900-2397,1900-03-12T00:00:00Z,Maxwell House,,,COMPLETE,2,38
12570,MAXWELL HOUSE,DINNER,COMMERCIAL,"NASHVILLE, TN",CARD; ILLUS; 5.5X7.5;,N/A,ILLUSTRATION OF HOTEL AT TOP OF MENU;,1900-2398,1900-03-12T00:00:00Z,Maxwell House,,,COMPLETE,2,31
12571,"CLYDE STEAMSHIP CO., THE",DINNER,COMMERCIAL,STEAMSHIP IROQUOIS,BROADSHEET; ILLUS; COL; 10X7;,N/A,"INCLUDES PRICED WINE, LIQUOR, ETC. LIST; STEAMSHIP INSIGNIA ON COVER; ON BACK COVER IS A MAP COMPRISING ALL LINES INVOLVED WITH CLYDE;",1900-2400,1900-03-12T00:00:00Z,"Clyde Steamship Co., The",DOLLARS,$,COMPLETE,3,72
12573,MAXWELL HOUSE,BREAKFAST,COMMERCIAL,"NASHVILLE, TN",CARD; ILLUS; 4.25X6.25;,N/A,ELABORATE PRINTING OF HOTEL NAME FORMS ILLUSTRATION;,1900-2404,1900-03-13T00:00:00Z,Maxwell House,,,COMPLETE,4,0
12574,OCCIDENTAL & ORIENTAL STEAMSHIP CO.,BREAKFAST,COMMERCIAL,SS COPTIC,BROADSIDE; ILLUS; 5.5X8.5;,N/A,HANDWRITTEN IN LAVENDAR INK; COMPANY FLAG AT TOP OF MENU;,1900-2410,1900-03-13T00:00:00Z,Occidental & Oriental Steamship Co.,,,COMPLETE,2,24
12575,GRENOBLE HOTEL,SUPPER,COMMERCIAL,NY,BROADSHEET; ILLUS.BORDER; COL; 7 X 11;,DAILY,COMPLETE WINE LIST ON BACK;,1900-2619,1900-03-30T00:00:00Z,Grenoble Hotel,DOLLARS,$,COMPLETE,2,255
12576,US ARMY - SUBSISTENCE DEPT.,LUNCHEON,MIL,TRANSPORT,BROADSIDE; 4.5 X 7;,N/A,MENU HANDWRITTEN; SUMMER;,1900-2623,1900-03-31T00:00:00Z,U.S. Army Subsistence Dept.,,,COMPLETE,2,13
12577,HADDON HALL,SUPPER,COMMERCIAL,"PHILADELPHIA, PA",BROADSIDE; ILLUS; COL; 5 X 7;,DAILY,N/A,1900-2625,1900-03-31T00:00:00Z,Haddon Hall,,,COMPLETE,2,60
12578,HADDON HALL,DINNER,COMMERCIAL,"PHILADELPHIA, PA",BROADSIDE; ILLUS; COL; 5 X 8;,DAILY,N/A,1900-2626,1900-03-31T00:00:00Z,Haddon Hall,,,COMPLETE,2,53
12579,TRUSTEES OF THE MISSOURI BOTANICAL GARDEN,11TH ANNUAL BANQUET,PROF,"SOUTHERN HOTEL,ST. LOUIS,MO.",BROADSIDE; ILLUS; 5.5 X 8.75;,ANNUAL EVENT,WINES LISTED FOR EACH COURSE;,1900-2627,1900-03-31T00:00:00Z,Trustees Of The Missouri Botanical Garden,,,COMPLETE,2,22
12583,,N/A,N/A,N/A,,N/A,N/A,,1900-04-15T00:00:00Z,Hotel Eastman,,,COMPLETE,2,67
12584,,N/A,N/A,N/A,,N/A,N/A,,1900-04-15T00:00:00Z,Republican House,,,COMPLETE,2,34
12585,,N/A,N/A,N/A,,N/A,N/A,,1900-04-16T00:00:00Z,Norddeutscher Lloyd Bremen,,,UNDER REVIEW,2,86
12586,,N/A,N/A,N/A,,N/A,N/A,,1900-04-16T00:00:00Z,Norddeutscher Lloyd Bremen,,,COMPLETE,2,66
12587,,N/A,N/A,N/A,,N/A,N/A,,1900-04-16T00:00:00Z,Norddeutscher Lloyd Bremen,,,COMPLETE,4,34
12588,,N/A,N/A,N/A,,N/A,N/A,,1900-04-16T00:00:00Z,Canadian Pacific Railway Company,,,COMPLETE,2,36
12589,,N/A,N/A,N/A,,N/A,N/A,,1900-04-16T00:00:00Z,Hotel Netherland,DOLLARS,$,COMPLETE,2,145
12590,,N/A,N/A,N/A,,N/A,N/A,,1900-04-17T00:00:00Z,Norddeutscher Lloyd Bremen,,,COMPLETE,2,82
12591,,N/A,N/A,N/A,,N/A,N/A,,1900-04-17T00:00:00Z,Norddeutscher Lloyd Bremen,,,COMPLETE,2,60
12592,,N/A,N/A,N/A,,N/A,N/A,,1900-04-17T00:00:00Z,Norddeutscher Lloyd Bremen,,,COMPLETE,4,35
12593,,N/A,N/A,N/A,,N/A,N/A,,1900-04-17T00:00:00Z,Hotel Marlborough,,,COMPLETE,2,19
12595,,N/A,N/A,N/A,,N/A,N/A,,1900-04-18T00:00:00Z,Manhattan Hotel,DOLLARS,$,COMPLETE,2,177
12596,,N/A,N/A,N/A,,N/A,N/A,,1900-04-18T00:00:00Z,Pacific Mail Steamship Company,,,COMPLETE,4,20
12597,,N/A,N/A,N/A,,N/A,N/A,,1900-04-18T00:00:00Z,Occidental & Oriental,,,COMPLETE,2,25
12598,,N/A,N/A,N/A,,N/A,N/A,,1900-04-18T00:00:00Z,Occidental & Oriental,,,COMPLETE,2,24
12599,,N/A,N/A,N/A,,N/A,N/A,,1900-04-18T00:00:00Z,Occidental & Oriental Steamship Company,,,COMPLETE,4,45
12600,,N/A,N/A,N/A,,N/A,N/A,,1900-04-18T00:00:00Z,Canadian Pacific Railway Company,,,COMPLETE,2,41
12601,,N/A,N/A,N/A,,N/A,N/A,,1900-04-18T00:00:00Z,Canadian Pacific Railway Company,,,COMPLETE,2,42
12602,,N/A,N/A,N/A,,N/A,N/A,,1900-04-18T00:00:00Z,Noviomagus,,,COMPLETE,2,16
12603,,N/A,N/A,N/A,,N/A,N/A,,1900-04-18T00:00:00Z,Manhattan Hotel,DOLLARS,$,COMPLETE,2,121
12604,,N/A,N/A,N/A,,N/A,N/A,,1900-04-18T00:00:00Z,Boston Boot & Shoe Club,,,COMPLETE,6,24
12605,,N/A,N/A,N/A,,N/A,N/A,,1900-04-19T00:00:00Z,Canadian Pacific Railway,,,COMPLETE,2,38
12606,,N/A,N/A,N/A,,N/A,N/A,,1900-04-19T00:00:00Z,Hotel Savoy,,,COMPLETE,2,15
12607,,N/A,N/A,N/A,,N/A,N/A,,1900-04-19T00:00:00Z,Pacific Mail Steamship Co.,,,COMPLETE,2,14
12609,,N/A,N/A,N/A,,N/A,N/A,,1900-04-20T00:00:00Z,Colby Alumni Association Of New York,,,COMPLETE,4,21
12610,,N/A,N/A,N/A,,N/A,N/A,,1900-04-20T00:00:00Z,Hotel Imperial,,,COMPLETE,2,15
12611,,N/A,N/A,N/A,,N/A,N/A,,1900-04-20T00:00:00Z,Whitefriars Club,,,COMPLETE,2,15
12613,,N/A,N/A,N/A,,N/A,N/A,,1900-04-20T00:00:00Z,Canadian Pacific Railway,,,COMPLETE,2,38
12614,,N/A,N/A,N/A,,N/A,N/A,,1900-04-21T00:00:00Z,Knights Of Revelry,,,COMPLETE,8,22
12616,,N/A,N/A,N/A,,N/A,N/A,,1900-04-21T00:00:00Z,St. Mark's School Alumni Association,,,COMPLETE,4,19
12617,,N/A,N/A,N/A,,N/A,N/A,,1900-04-21T00:00:00Z,Canadian Society Of New York,,,COMPLETE,2,39
12618,,N/A,N/A,N/A,,N/A,N/A,,1900-04-22T00:00:00Z,Cafe Boulevard,,,COMPLETE,2,17
12619,,N/A,N/A,N/A,,N/A,N/A,,1900-04-22T00:00:00Z,Pacific Mail Steamship Co.,,,COMPLETE,2,14
12620,,N/A,N/A,N/A,,N/A,N/A,,1900-04-22T00:00:00Z,Morning Newspaper Bowling League,,,COMPLETE,2,23
12621,,N/A,N/A,N/A,,N/A,N/A,,1900-04-23T00:00:00Z,Cunard Line,DOLLARS,$,COMPLETE,2,102
12622,,N/A,N/A,N/A,,N/A,N/A,,1900-04-23T00:00:00Z,Cunard Line,DOLLARS,$,COMPLETE,2,102
12624,,N/A,N/A,N/A,,N/A,N/A,,1900-02-18T00:00:00Z,U.S.M.S. New York,DOLLARS,$,COMPLETE,2,103
12625,,N/A,N/A,N/A,,N/A,N/A,,1900-02-18T00:00:00Z,Bartholdi Hotel,DOLLARS,$,COMPLETE,2,200
12626,,N/A,N/A,N/A,,N/A,N/A,,1900-02-18T00:00:00Z,Bartholdi Hotel,DOLLARS,$,COMPLETE,4,342
12627,,N/A,N/A,N/A,,N/A,N/A,,1900-02-19T00:00:00Z,Haan's,DOLLARS,$,COMPLETE,2,376
12628,,N/A,N/A,N/A,,N/A,N/A,,1900-02-19T00:00:00Z,Marie Antoinette Hotel,DOLLARS,$,COMPLETE,2,81
12629,,N/A,N/A,N/A,,N/A,N/A,,1900-02-20T00:00:00Z,Red Star Line S.S.Southwark,BELGIAN FRANCS,BEF,COMPLETE,2,62
12630,,N/A,N/A,N/A,,N/A,N/A,,1900-02-20T00:00:00Z,Marie Antoinette Hotel,DOLLARS,$,COMPLETE,2,123
12632,,N/A,N/A,N/A,,N/A,N/A,,1890-01-06T00:00:00Z,"Spiers & Pond,Ld",,,COMPLETE,4,32
12633,,N/A,N/A,N/A,,N/A,N/A,,1890-01-08T00:00:00Z,Business Men's Democratic Association,,,COMPLETE,4,28
12635,,N/A,N/A,N/A,,N/A,N/A,,1888-10-15T00:00:00Z,The Albany,,,COMPLETE,2,30
12636,,N/A,N/A,N/A,,N/A,N/A,,1865-06-09T00:00:00Z,Revere House,DOLLARS,$,COMPLETE,4,403
12637,,N/A,N/A,N/A,,N/A,N/A,,1892-05-19T00:00:00Z,National Verbandes Deutsch Amerikanischer Journalisten Und Schriftsteller (Unusual),,,COMPLETE,2,19
12638,,N/A,N/A,N/A,,N/A,N/A,,1901-06-03T00:00:00Z,Columbia Restaurant,DOLLARS,$,COMPLETE,4,495
12639,,N/A,N/A,N/A,,N/A,N/A,,1901-06-04T00:00:00Z,Mrs Cluff,,,COMPLETE,4,15
12640,,N/A,N/A,N/A,,N/A,N/A,,1901-06-05T00:00:00Z,Baily Catering Co.The,,,COMPLETE,7,18
12641,,N/A,N/A,N/A,,N/A,N/A,,1901-06-05T00:00:00Z,St Johns Old Bachelors' Association,,,COMPLETE,2,14
12642,,N/A,N/A,N/A,,N/A,N/A,,1901-01-01T00:00:00Z,Northern Steamship Co.,DOLLARS,$,COMPLETE,4,11
12643,,N/A,N/A,N/A,,N/A,N/A,,1901-01-01T00:00:00Z,Citizens'steamboat Company,DOLLARS,$,COMPLETE,8,254
12644,,N/A,N/A,N/A,,N/A,N/A,,1901-06-05T00:00:00Z,National Association Of Manufacturers Of The United States Of America,,,COMPLETE,4,21
12645,,N/A,N/A,N/A,,N/A,N/A,,1900-02-25T00:00:00Z,Hamburg Amerika Linie,,,COMPLETE,4,28
12646,,N/A,N/A,N/A,,N/A,N/A,,1900-02-26T00:00:00Z,Union Hotel & Restaurant,DOLLARS,$,COMPLETE,2,72
12647,,N/A,N/A,N/A,,N/A,N/A,,1900-02-26T00:00:00Z,Cunard Line,SHILLINGS,s,COMPLETE,2,92
12648,,N/A,N/A,N/A,,N/A,N/A,,1900-02-26T00:00:00Z,Cunard Line,SHILLINGS,s,COMPLETE,2,96
12649,,N/A,N/A,N/A,,N/A,N/A,,1900-02-26T00:00:00Z,New York Medical Club,,,COMPLETE,4,17
12650,,N/A,N/A,N/A,,N/A,N/A,,1900-02-26T00:00:00Z,Red Star Line,,,COMPLETE,2,16
12651,,N/A,N/A,N/A,,N/A,N/A,,1900-02-26T00:00:00Z,Red Star Line,,,COMPLETE,2,17
12652,,N/A,N/A,N/A,,N/A,N/A,,1900-02-26T00:00:00Z,Red Star Line,,,COMPLETE,2,16
12653,,N/A,N/A,N/A,,N/A,N/A,,1900-02-26T00:00:00Z,Red Star Line,FRANCS,FF,COMPLETE,2,51
12654,,N/A,N/A,N/A,,N/A,N/A,,1900-03-11T00:00:00Z,Pabst Blue Ribbon,DOLLARS,$,COMPLETE,2,50
12655,,N/A,N/A,N/A,,N/A,N/A,,1900-03-11T00:00:00Z,Maxwell House,,,COMPLETE,2,31
12656,,N/A,N/A,N/A,,N/A,N/A,,1900-03-11T00:00:00Z,Maxwell House,,,COMPLETE,2,23
12657,,N/A,N/A,N/A,,N/A,N/A,,1900-03-11T00:00:00Z,Cunard Line,SHILLINGS,s,COMPLETE,2,96
12658,,N/A,N/A,N/A,,N/A,N/A,,1900-03-27T00:00:00Z,Haddon Hall,,,COMPLETE,2,51
12662,,N/A,N/A,N/A,,N/A,N/A,,1900-03-30T00:00:00Z,Ancient & Accepted Scottish Rite (Masonic Lodge),,,COMPLETE,4,18
12663,,N/A,N/A,N/A,,N/A,N/A,,1900-03-30T00:00:00Z,Upsilon Chapter D.K.E. Fraternity,,,COMPLETE,4,16
12665,,N/A,N/A,N/A,,N/A,N/A,,1900-03-30T00:00:00Z,German Restaurant & Buffet,DOLLARS,$,COMPLETE,4,112
12666,,N/A,N/A,N/A,,N/A,N/A,,1901-06-06T00:00:00Z,Mr. John Morgan,,,COMPLETE,4,23
12668,,N/A,N/A,N/A,,N/A,N/A,,1901-06-06T00:00:00Z,Entertainment Committee,,,COMPLETE,4,20
12669,,N/A,N/A,N/A,,N/A,N/A,,1901-06-06T00:00:00Z,Oceanic Steamship Company,,,COMPLETE,2,37
12670,,N/A,N/A,N/A,,N/A,N/A,,1901-06-06T00:00:00Z,Oceanic Steamship Company,,,COMPLETE,2,50
12671,,N/A,N/A,N/A,,N/A,N/A,,1901-06-06T00:00:00Z,Norddeutscher Lloyd Bremen,,,COMPLETE,2,22
12672,,N/A,N/A,N/A,,N/A,N/A,,1901-06-06T00:00:00Z,Rhode Island Medical Society,,,COMPLETE,2,18
12673,,N/A,N/A,N/A,,N/A,N/A,,1901-06-07T00:00:00Z,Oceanic Steamship Company,,,COMPLETE,2,40
12674,,N/A,N/A,N/A,,N/A,N/A,,1900-08-21T00:00:00Z,Hotel Del Coronado,,,COMPLETE,2,60
12675,,N/A,N/A,N/A,,N/A,N/A,,1900-08-21T00:00:00Z,Long Beach Hotel,,,COMPLETE,2,20
12678,,N/A,N/A,N/A,,N/A,N/A,,1900-02-26T00:00:00Z,Bristol Hotel,,,COMPLETE,2,11
12688,,N/A,N/A,N/A,,N/A,N/A,,1900-05-14T00:00:00Z,John Wanamaker,DOLLARS,$,COMPLETE,2,73
12689,,N/A,N/A,N/A,,N/A,N/A,,1900-03-12T00:00:00Z,Maxwell House,,,COMPLETE,2,41
12694,,N/A,N/A,N/A,,N/A,N/A,,1900-03-13T00:00:00Z,Occidental & Oriental Steamship Co.,,,COMPLETE,2,25
12695,,N/A,N/A,N/A,,N/A,N/A,,1900-03-30T00:00:00Z,Grenoble Hotel,DOLLARS,$,COMPLETE,2,250
12696,,N/A,N/A,N/A,,N/A,N/A,,1900-03-31T00:00:00Z,U.S. Army Subsistence Dept.,,,COMPLETE,2,12
12697,,N/A,N/A,N/A,,N/A,N/A,,1900-03-31T00:00:00Z,Haddon Hall,,,COMPLETE,2,60
12698,,N/A,N/A,N/A,,N/A,N/A,,1900-03-31T00:00:00Z,Haddon Hall,,,COMPLETE,2,55
12700,GERMAN RESTAURANT & BUFFET,DAILY MENU - 11;30 T0 3;00,COMMERCIAL,"137 E. MADISON ST. CHICAGO, ILL.",FOLDER; ILLUS; COL; 4.5 X 10.5;,DAILY,LIST OF VAUDEVIILE ENTERTAINERS FOR THE WEEK;,1900-2630,1900-03-31T00:00:00Z,German Restaurant & Buffet,DOLLARS,$,COMPLETE,4,109
12702,PIONEER DINING CAR LINE,DAILY MENU,COMMERCIAL,EN ROUTE,BROADSIDE; COL; 5 X 7.25;,DAILY,SEPARATE PAGE OF HANDWRITTEN SPECIALS PASTED ON REGULAR MENU;,1900-2632,1900-03-31T00:00:00Z,Pioneer Dining Car Line,DOLLARS,$,COMPLETE,2,46
12703,HOTEL VENDOME,BREAKFAST,COMMERCIAL,"BOSTON, MA",BROADSIDE; HOTEL EMBLEM; 5 X 7;,DAILY,"HOURS FOR BREAKFAST,LUNCH,DINNER & TEA LISTED;",1900-2636,1900-04-01T00:00:00Z,Vendome Hotel,,,COMPLETE,2,78
12704,HOTEL NETHERLAND,A LA CARTE MENU,COMMERCIAL,NY,FOLDER; ILLUS; COL; 6.5 X 11;,DAILY,N/A,1900-2637,1900-04-01T00:00:00Z,Netherland Hotel,DOLLARS,$,COMPLETE,4,389
12705,MILLS HOTEL,DINNER,COMMERCIAL,BLEECKER ST. NY,BROADSHEET; 3.75 X 6;,DAILY,DINNER SERVED FROM 11;30 TO 9 PM; BREAKFAST MENU ON BACK;,1900-2638,1900-04-01T00:00:00Z,Mills Hotel,,,COMPLETE,2,67
12706,CROMWELL STEAMSHIP COMPANY,BREAKFAST,COMMERCIAL,EN ROUTE,BROADSIDE; COL;4.5 X 7.5;,DAILY,ALL HANDWRITTEN;,1900-2641,1900-04-01T00:00:00Z,Cromwell Steamship Company,,,COMPLETE,2,19
12708,CROMWELL STEAMSHIP COMPANY,BREAKFAST,COMMERCIAL,N/A,CARD;ILL;COL;4.5X7.5;,DAILY,"FLAG;HANDWRITTEN,MECHANICALLY REPRODUCED;",1900-2649,1900-04-02T00:00:00Z,Cromwell Steamship Company,,,COMPLETE,2,18
12709,WILLARD'S HOTEL,BREAKFAST,COMMERCIAL,"WASHINGTON, D.C.",CARD;4.5X7;,DAILY,SEVERAL HANDWRITTEN ENTRIES ON PRINTED MENU; DATE BY FB;,1900-2656,1900-04-03T00:00:00Z,Willard's Hotel,,,COMPLETE,2,67
12710,NIPPON YUSEN KAISHA,BREAKFAST,COMMERCIAL,ABOARD SS ?,BROADSIDE; 5.5X7.75;,N/A,HAND WRITTEN;,1900-4132,1900-08-22T00:00:00Z,Nippon Yusen Kaisha,,,COMPLETE,2,14
12711,NIPPON YUSEN KAISHA,TIFFIN,COMMERCIAL,ABOARD SS ?,BROADSIDE; 5.5X7.75;,N/A,HAND WRITTEN;,1900-4134,1900-08-22T00:00:00Z,Nippon Yusen Kaisha,,,COMPLETE,2,18
12712,CINCINNATI ENQUIRER HOUSEHOLD CLUB,ANNUAL OUTING,SOC,"HOTEL VICTORY, PUT-IN-BAY-ISLAND, LAKE ERIE, OH.",FOLDER; ILLUS; COL; 5.5X6.75;,N/A,"ILLUS, WOMAN IN (18TH CENTURY?) COSTUME WITH BASKET OF FLOWERS;",1900-4145,1900-08-23T00:00:00Z,Cincinnati Enquirer Household Club,,,COMPLETE,4,38
12713,NIPPON YUSEN KAISHA,DINNER,COMMERCIAL,ABOARD SS KOBE;,BROADSHEET; ILLUS; COL; 10.5X9.5;,N/A,"HAND WRITTEN; ILLUS, YOUTHS IN JAPANESE COSTUME, CARRYING FLOAT; REVERSE SIDE, MAP OF INDIAN OCEAN SHOWING THE STEAMER TRACKS OF THE NIPPON YUSEN KAISHA;",1900-4148,1900-08-24T00:00:00Z,Nippon Yusen Kaisha,,,COMPLETE,2,15
12714,HOTEL VICTORY,EVENING DINNER,COMMERCIAL,"PUT-IN-BAY-ISLAND, LAKE ERIE, OH",BROADSIDE; 4.5X6.75;,N/A,N/A,1900-4151,1900-08-24T00:00:00Z,Hotel Victory,,,COMPLETE,2,34
12715,TOYO KISEN KAISHA,DINNER IN HONOR OF H.I.M.MUTSU-HITO 47TH BIRTHDAY,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,BROADSHEET; ILLUS; 6.5 X 7.75;,COMPLIMENTARY/TESTIMONIAL,"B&W PHOTOGRAPHS OF VARIOUS POINTS OF INTEREST IN AMERICA, HAWAII, CHINA;JAPAN;",1900-4856,1900-11-02T00:00:00Z,Toyo Kisen Kaisha,,,COMPLETE,2,44
12716,ROUND TABLE CLUB,LUNCH,SOC,[THE KNICKERBOCKER CLUB?],CARD;ILLUS;COL;5.5X8;,N/A,WINES;PLACE HANDWRITTEN ON BACK;NAMES ON BACK HANDWRITTEN;DR.J.S.BILLINGS NAME HANDWRITTEN IN DIFFERENT HAND;,1900-4859,1900-11-02T00:00:00Z,Round Table Club,,,COMPLETE,2,26
12717,ST. LOUIS HORSE SHOW ASSOCIATION,BANQUET,SOC,SAINT LOUIS CLUB,FOLDER; ILLUS; 3X5;,N/A,FRENCH & ENGLISH; WINES INCLUDED; MUSE ILLUSTRATION ON COVER;,1900-4860,1900-11-03T00:00:00Z,St. Louis Horse Show Association,,,COMPLETE,4,18
12718,HOTEL GRUNEWALD,DINNER,COMMERCIAL,"NEW ORLEANS, LA",BROADSHEET; ILLUS; 5.25X8.25;,N/A,TABLE D'HOTE MENU INCLUDES PINT FRENCH CLARET; ILLUSTRATION OF COAT OF ARMS AND TABLE LADEN WITH FRUIT AND WINES; MUSICAL PROGRAM INCLUDED;,1900-4861,1900-11-03T00:00:00Z,Grunewald Hotel,,,COMPLETE,2,21
12719,NEW STATE HOUSE,EVENING MEAL,N/A,"WACO, TX",BROADSIDE; ILLUS; 4.5X7.25;,N/A,ILLUSTRATION OF COTTON YARD;,1900-4862,1900-11-05T00:00:00Z,New State House,,,COMPLETE,2,35
12722,JOHN WANAMAKER,BREAKFAST,COMMERCIAL,"NEW YORK, NY",BROADSIDE; 4.75X8.25;,N/A,DATE HAND-WRITTEN [FEB?];,1900-3271,1900-05-14T00:00:00Z,John Wanamaker,,,COMPLETE,2,40
12723,PACIFIC MAIL STEAMSHIP CO.,DINNER,COMMERCIAL,SS CITY OF PARA,FOLDER; 5.5X8.5;,N/A,N/A,1900-3276,1900-05-14T00:00:00Z,Pacific Mail Steamship Co.,,,COMPLETE,4,16
12724,JOHN WANAMAKER,DAILY MENU,COMMERCIAL,"BROADWAY & 10TH STREET, NEW YORK, [NY]",FOLDER; ILLUS; COL; 6.25X10.5;,N/A,"ILLUS: SHIELD WITH FLEUR DE LYS, FLANKED BY LOBSTERS; SURMOUNTED BY PIGEON;",1900-3277,1900-05-14T00:00:00Z,John Wanamaker,DOLLARS,$,COMPLETE,4,242
12725,PACIFIC MAIL STEAMSHIP COMPANY,BREAKFAST,COMMERCIAL,SS RIO DE JANEIRO,BROADSIDE; 5.75X8.75;,N/A,N/A,1900-3284,1900-05-15T00:00:00Z,Pacific Mail Steamship Company,,,COMPLETE,2,19
12726,PACIFIC MAIL STEAMSHIP COMPANY,TIFFIN,COMMERCIAL,SS RIO DE JANEIRO,BROADSIDE; 5.75X8.75;,N/A,N/A,1900-3285,1900-05-15T00:00:00Z,Pacific Mail Steamship Company,,,COMPLETE,2,21
12728,NEW FALMOUTH HOTEL,BREAKFAST,COMMERCIAL,"PORTLAND, ME",BROADSIDE; 5.0X8.0;,N/A,"DATE HAND WRITTEN (FEB?); SIGNED BY F. H. NUNNS, PROP.;",1900-3296,1900-05-16T00:00:00Z,New Falmouth Hotel,,,COMPLETE,2,54
12729,NEW FALMOUTH HOTEL,DINNER,COMMERCIAL,"PORTLAND, ME",BROADSIDE; 5.0X8.5;,N/A,"SIGNED BY F. H. NUNNS, PROP.; NOTE AT BOTTOM OF MENU: JEFFERSON THEATRE, ""TACITUS""",1900-3297,1900-05-16T00:00:00Z,New Falmouth Hotel,,,COMPLETE,2,54
